sw_latitude,sw_longitude,ne_latitude,ne_longitude,status
-1.14,51.480000000000004,-1.13,51.49,pending
-1.13,51.480000000000004,-1.1199999999999999,51.49,pending
-1.1199999999999999,51.480000000000004,-1.1099999999999999,51.49,pending
-1.1099999999999999,51.480000000000004,-1.0999999999999999,51.49,pending
-1.0999999999999999,51.480000000000004,-1.0899999999999999,51.49,pending
-1.0899999999999999,51.480000000000004,-1.0799999999999998,51.49,pending
-1.0799999999999998,51.480000000000004,-1.0699999999999998,51.49,pending
-1.0699999999999998,51.480000000000004,-1.0599999999999998,51.49,pending
-1.0599999999999998,51.480000000000004,-1.0499999999999998,51.49,pending
-1.0499999999999998,51.480000000000004,-1.04,51.49,pending
-1.04,51.480000000000004,-1.03,51.49,pending
-1.03,51.480000000000004,-1.02,51.49,pending
-1.02,51.480000000000004,-1.01,51.49,pending
